File,Model,RMSE,MAE,R2
1,Ridge,17.468021777239866,11.456742880016517,0.754988323400104
1,Random Forest,17.01376752020116,11.681139074093815,0.7675656440341403
1,LightGBM,16.516540727603896,11.338873266458231,0.7809528948735172
1,LSTM,16.179690622872258,10.804442041097257,0.7897965890776338
1,GRU,16.368548049577356,10.959868938743787,0.7848607511294774
1,Transformer,16.75288571665835,11.47745107985043,0.7746390916062152
2,Ridge,16.951396587563778,10.952163804723222,0.7016388009051597
2,Random Forest,15.770309463684958,10.607941151233728,0.7417669611021409
2,LightGBM,15.214270534741441,10.240006545856108,0.7596558013808058
2,LSTM,14.849715646916744,9.927304519483187,0.7710357647307509
2,GRU,14.743421877972727,9.957656986335593,0.7743018701151712
2,Transformer,15.06915334874573,10.03251111826966,0.7642188510754118
3,Ridge,20.967807869210667,13.797900396021408,0.7816431005890746
3,Random Forest,20.610544398774866,13.431365225012664,0.7890207285186448
3,LightGBM,20.09128793575701,13.110031407025563,0.7995175239543525
3,LSTM,19.28901415276984,12.211399193429045,0.8152089532998511
3,GRU,19.430491161663173,12.15743758705557,0.8124882791428121
3,Transformer,19.838570287012033,13.05587810900597,0.8045293293851599
